This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	no
alt-c64		Mais il n’y a que toi de disponible. Dis moi, faut quand même être sacrément attardé pour jouer encore sur un C64 de nos jours ??!	But you're the only one around.\n\nTell me, ain't you some kinda\nsad imbecile to still be\nplaying on a c64?	CK RF CT AH	109	Pero resulta que no hay nadie más disponible. ¿Y acaso no es cierto que solo los retrasados siguen jugando en un C64 hoy en día?	HAM miguelsky	128	Purtroppo, però, sei l'unica opzione disponibile. Dimmi un po', non ti senti un ritardato a giocare ancora con un C64 al giorno d'oggi?!	Mr. DVG Parsec	136	Τι να κανω που μόνο εσύ είσαι διαθέσιμος; Μιλάμε, πρέπει να είσαι τελείως καθυστερημένος για να χρησιμοποιείς C64 τη σήμερον ημέρα!	msg/SK	131	Leider stehst nur Du zur Verfügung. Sag mal, was für eine armselige Wurst spielt heutzutage eigentlich noch auf dem C64?!	Phoenix Yth Dissident	121	No ale cóż, tylko Ty jesteś pod ręką... Powiedz mi, trzeba być jednak nieźle opóźnionym by wciąż grać w gry na COMMODORE 64 w tych czasach...	PS2 SP	141	Men bare du er tilgjengelig. Si meg, har du fortsatt å være ganske tilbakestående å selv spille på en C64 i dag ??!
alt-speccy		Mais il n’y a que toi de disponible. Dis moi, faut quand même être sacrément attardé pour jouer encore sur un ZX de nos jours ??!	But you're the only one around.\n\nTell me, ain't you some kinda\nsad imbecile to still be\nplaying on a SPECCY?	CK RF CT AH	112	Pero resulta que no hay nadie más disponible. ¿Y acaso no es cierto que solo los retrasados siguen jugando en un ZX hoy en día?	HAM miguelsky	127	Purtroppo, però, sei l'unica opzione disponibile. Dimmi un po', non ti senti un ritardato a giocare ancora con un ZX al giorno d'oggi?!	Mr. DVG Parsec	135	Τι να κανω που μόνο εσύ είσαι διαθέσιμος; Μιλάμε, πρέπει να είσαι τελείως καθυστερημένος για να χρησιμοποιείς ZX τη σήμερον ημέρα!	msg/SK	130	Leider stehst nur Du zur Verfügung. Sag mal, was für eine armselige Wurst spielt heutzutage eigentlich noch auf dem Spectrum?!	Phoenix Yth Dissident	126	No ale cóż, tylko Ty jesteś pod ręką... Powiedz mi, trzeba być jednak nieźle opóźnionym by wciąż grać w gry na ZX SPECTRUM w tych czasach...	PS2 SP	140	Men bare du er tilgjengelig. Si meg, du har fortsatt å være ganske tilbakestående å selv spille på en ZX dag ??!
		Tu manques de tendresse et tu te réfugies dans les souvenirs de ton enfance ? bla bla bla bla... Mon bébé, va falloir que tu ASSURES sur ce coup là !	Do you lack affection and take\nshelter in your childish memories? Boo hoo.\n Mama's boy, you'll need to be\n on TOP FORM to handle this!	CK RF CT	137	¿Te falta cariño y te refugias en los recuerdos de tu infancia? Bla, bla, bla, bla... ¡Tendrás que ASEGURARTE de poder manejar esto, colega!	HAM miguelsky	140	Hai bisogno d'affetto e ti rifugi nei ricordi d'infanzia? Bla bla bla... Piccino di mamma, dovrai darti una svegliata se vuoi sperare di farcela.	Mr. DVG Parsec	145	Δεν σε χάιδευε αρκετά η μαμά και τώρα αναζητάς καταφύγιο στις παιδικές σου μνήμες; Άσε τα λόγια, βουτυρομπεμπέ, σε θέλω ΑΡΧΗΓΟ, για να τα καταφέρουμε!	msg/SK	150	Och, bekommst Du zu wenig Liebe, dass Du in die Erinnerung deiner Kindheit flüchten musst? Ey, kleines Baby, hier darfst Du Dir keine Fehler leisten!	Phoenix Yth Dissident	149	Brak Ci czułości i chronisz się we wspomnieniach z dzieciństwa? No cóż, bywa... Wiesz, tutaj będziesz musiał się wspiąć na wyżyny formy, by dać sobię w ogóle radę!	PS2 SP	163	Du går glipp av ømhet og du tar tilflukt i minnene fra barndommen din? blah blah blah blah ... Min baby, du skal ha forsikret på denne!
		Je vais t’expliquer comment tu vas pouvoir m’aider. Je vais y aller doucement pour être sur que ton petit cerveau comprenne bien tout.	I'm going to explain how you can help me. I'll go slowly to make\nsure that little brain of yours\nunderstands everything.	CK RF	122	Voy a explicarte cómo puedes ayudarme. Iré despacito para asegurarme de que tu cerebrito lo pilla.	HAM miguelsky	98	Ora ti spiego come potrai essermi d'aiuto. Parlerò lentamente per assicurarmi che il tuo piccolo cervello recepisca tutto quanto.	Mr. DVG Parsec	129	Θα σου εξηγήσω πώς θα με βοηθήσεις. Θα τα πω αργά, να βεβαιωθώ οτι τα καταλαβες όλα, με το αϊκιού ραδικιού που κουβαλάς.	msg/SK	120	Ich werde Dir erklären, wie Du mir helfen kannst, und ich werde es langsam angehen, damit Dein kleines Hirn alles versteht.	Phoenix Dissident	123	Ok, wytłumaczę Ci tutaj w jaki sposób będziesz w stanie mi pomóc.Zrobię to na tyle powoli, aby upew--nić się, że nawet Twój mały móż--dżek jakoś to wszystko pojmie.	PS2 SP	164	Jeg skal forklare deg hvordan du vil være i stand til å hjelpe meg. Jeg går sakte for å være sikker på at din lille hjerne forstår alt.
		Ce qui m'emmerde, c'est que je vais risquer ma vie et que toi tu vas pas bouger ton gros cul de ta chaise. Ca pue du cul cette histoire.	What annoys me most is that\nI'll be risking my life and\nthat you're not even gonna move\nyour fat ass outa your chair.\nIt stinks!	CK RF	132	Lo que me más me jode es que voy a arriesgar mi vida mientras que tú no tendrás que mover tu grasiento culo de esa silla. ¡Menuda mierda!	HAM miguelsky	137	Quello che mi fa incazzare è che io rischierò la mia vita mentre tu non muoverai di un solo millimetro quel culone dalla sedia. Che bell'affare!	Mr. DVG Parsec	144	Πιο πολύ μου τη σπάει οτι εγώ θα παίζω την ζωή μου κορώνα-γράμμα--τα, ενώ εσύ θα θρονιάζεις τη μπουχεσοκωλάρα σου στην καρέκλα. Το στανιό μου μέσα!	msg/SK	147	Was mich ja ärgert ist, dass ich mein Leben riskiere und Du Deinen fetten Arsch nicht aus deinem Stuhl bewegst.	Phoenix Yth Dissident	111	To co najbardziej mnie wkurza to to, że gdy ja będę ryzykować życie, Ty nawet nie podniesiesz swojego tłustego tyłka z krzesła. Co za życie!	PS2 SP	140	Hva irriterer meg er at jeg vil risikere livet mitt, og at du har du tenkt å flytte fett ræva av stolen. Det stinker ass historien.
		Mais bon pas le choix, alors go. Bon alors, tu vas voir un curseur sur l’image de jeu. Ce curseur, tu peux le déplacer avec DIRECTIONS.	But hey-ho I've no choice,\nso off we go. Well then, later\nyou'll see a cursor on the screen.\nYou'll be able to move it\n with the DIRECTIONS.	CK RF	144	Pero no tengo elección, así que... ¡Vamos allá! Verás un cursor en la pantalla. Puedes moverlo con las DIRECCIONES.	HAM miguelsky	115	Ma a quanto pare non ho altra scelta, quindi diamoci da fare. Allora, vedrai un cursore sullo schermo. Puoi spostarlo con le DIREZIONI.	Mr. DVG Parsec	135	Δεν παίζει, όμως, άλλη επιλογή, οπότε φύγαμε. Λοιπόν, θα βλέπεις έναν κέρσορα στην οθόνη. Μπορείς να τον κατευθύνεις με τα ΒΕΛΑΚΙΑ.	msg/SK	131	Aber hey, wir haben keine Wahl, also los geht's. Gut, Du wirst einen Cursor auf dem Spielbild sehen. Du kannst ihn mit den Pfeiltasten bewegen.	Phoenix Yth Dissident	143	Ale cóż, skoro nie mam innego wyboru, to wyruszamy! W kolejnych scenach zobaczysz na ekranie kursor, którym będziesz mógł poruszać od--powiednimi klawiszami KIERUNKÓW.	PS2 SP	167	Men hei ikke noe valg, så gå. Vel, da vil du se en markør på bildet spillet. Denne glidebryteren, kan du flytte den med retninger.
	Explanations of the colors for the cursor.	Quand le curseur est sur une zone d’action, il devient vert. Tu connais tes couleurs hein ? VERT bien, ROUGE pas bien. Tu devrais y arriver...	When the cursor is over an\n area of action, it turns green.\n You do know your colors right?\n GREEN is good, RED is wrong.\nYou should get it...	CK RF	146	Cuando el cursor está sobre un área de acción, se pone en verde. Sabes los colores, ¿no? VERDE es bueno, ROJO es malo. Estoy seguro de que lo pillas...	HAM miguelsky	151	Se il cursore è su una zona di azione, diventa verde. Conosci i colori, vero? VERDE è buono, ROSSO è cattivo. Puoi farcela persino tu.	Mr. DVG Parsec	134	Όταν ο κέρσορας βρίσκεται σε πε--ριοχή που επιτρέπει αλληλεπίδραση, θα γίνεται πράσινος. Ξέρεις από χρώματα, ε; Το ΠΡΑΣΙΝΟ είναι καλό, το ΚΟΚΚΙΝΟ είναι κακό. Μπήκες;	msg/SK	165	Wenn der Cursor auf einem Aktionsfeld ist, wird er grün. Du kennst Deine Farben? GRUEN gut, ROT nicht gut. Das solltest selbst Du kapieren...	Phoenix Yth Dissident	141	Gdy kursor znajdzie się nad obszarem akcji - zmieni kolor na zielony. Rozpoznajesz kolory, praw--da? ZIELONY dobrze, CZERWONY nie dobrze. Dasz sobie radę, prawda?	PS2 SP	162	Når markøren er over et område på handling, blir det grønt. Du vet at farger ikke sant? GREEN god, RED galt. Du bør få det ...
		Sur l'endroit choisi, fais ACTION pour agir. Il a compris le gogol ? Allez on y va, ACTION pour commencer !	On the chosen location,\npress ACTION to act.\nYou do understand don't you?\nCome on let's go,\nACTION to begin!	CK RF	112	Cuando decidas, pulsa ACCIÓN para actuar. ¿Lo ha pillado el tontico? ¡Adelante, ACCIÓN para comenzar!	HAM miguelsky	101	Nella posizione scelta, premi AZIONE per agire. Hai capito, vero? Bene, allora forza: AZIONE per iniziare!	Mr. DVG Parsec	106	Στο επιλεγμένο σημείο, πατάς ACTION για να δράσεις. Όλα κατανοητά; Άντε, φύγαμε, πάτα ACTION για να ξεκινήσεις!	msg/SK	111	Drücke an der ausgewählten Stelle AKTION, um etwas zu tun. Das verstehst Du doch, oder? Jetzt lass uns loslegen, drücke AKTION um zu beginnen!	Phoenix Yth Dissident	142	Po przesunięciu kursora w wyb--rane miejsce naciśnij przycisk AK--CJI (Spacja/Fire) by zadziałać. Zro--zumiał czy nie? No to dawaj, ru--szamy! Przycisk AKCJI by zacząć!	PS= SP	168	På den valgte plasseringen, gjør ACTION å handle. Han forsto Gogol? Kom la oss gå til ACTION begynne!
end		Tu peux jouer au clavier ou au joystick. ACTION et DIRECTIONS seront espace et flèches au clavier, et le bouton feu et les directions pour le joystick.	You can play using the\nkeyboard or joystick. ACTION and\nDIRECTIONS are space & arrows on\nthe keyboard, or use fire &\ndirections on the joystick.	CK RF	148	Puedes jugar con teclado o joystick. Con teclado: ACCIÓN y DIRECCIONES son la barra espaciadora y los cursores. Con joystick: El botón y el palo.	HAM miguelsky	145	Puoi giocare con tastiera o joystick. Sulla tastiera, AZIONE e DIREZIONI sono la barra spaziatrice e le frecce cursore. Con joystick: il tasto di fuoco e la levetta.	Mr. DVG Parsec	165	Μπορείς να παίξεις με πληκτρο--λόγιο ή με joystick. Το ACTION και οι ΚΑΤΕΥΘΥΝΣΕΙΣ αντιστοιχούν σε Spa--ce και βελάκια ή στο Fire και τις κατευθύνσεις του Joystick. 	msg/SK	164	Du kannst mit der Tastatur oder dem Joystick spielen. AKTION sind Leertaste oder Feuerknopf, RICHTUNGEN die Pfeiltasten oder natürlich der Joystick.	Phoenix Yth Dissident	148	W grę można grać klawiaturą lub joystickiem. Przyciskami AKCJI i KIERUNKÓW są SPACJA i STRZAŁKI na klawiaturze albo przycisk Fire i wychylenia drążka joysticka.	PS2 SP	160	Du kan spille keyboard eller joystick. ACTION og veibeskrivelser plass og pilene på tastaturet, og brannen knappen, og veibeskrivelse til joysticken.
alt-speccy		Tu peux jouer au clavier ou au joystick. DIRECTIONS et ACTION seront QW OP et espace, et le bouton feu et les directions pour le joystick.	you can play using the keyboard\nor joystick. DIRECTIONS and ACTION are QA OP & Space or cursor keys\non the keyboard, or directions &\nfire on the joystick.			puedes jugar con teclado o el joystick. DIRECCIONES y ACCIÓN son QA OP & espacio o teclas de cursor en el teclado, o direcciones y fuego en el joystick.	robcfg 		puoi giocare utilizzando la tastiera o il joystick. DIREZIONI e AZIONE sono QA OP e Spazio, oppure i tasti cursore sulla tastiera e il pulsante di fuoco sul joystick.	Mr DVG		Ο έλεγχος γίνεται με πληκτρολόγιο ή με joystick. QAOP ή βελάκια και space bar στο πληκτρολόγιο ή κατευθύνσεις και πυρ στο joystick.	msg		Du kannst mit der Tastatur oder dem Joystick spielen. AKTION sind Leertaste oder Feuerknopf, RICHTUNGEN die Pfeiltasten, QAOP oder natürlich der Joystick.	Yth	154	W grę można grać klawiaturą lub joystickiem. Przyciskami AKCJI i KIERUNKÓW są Spacja i klawisze QA OP lub strzałki, albo przycisk Fire i wychylenia drążka joysticka.	PS SP		Du kan spille keyboard eller joystick. VEIBESKRIVELSE QW og vilje ACTION OP og plass, og brannen knappen, og veibeskrivelse til styrespaken.
Level02		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Original fransk tekst. Uppercases OPPLYSNINGER ord i gult i spillet, så hold 'em store bokstaver. 
